rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
1,오디세이,98%,901만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001323/30001323_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
2,스파이더맨-브랜드 뉴 데이,97%,857.7만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001192/30001192_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
3,암살자(들),,,개봉예정,2026-09-23,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001314/30001314_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
4,비광,,,개봉예정,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001338/30001338_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
5,인턴,,,개봉예정,2026-09-16,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001399/30001399_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
6,경주기행,93%,21만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001350/30001350_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
7,옵세션,,,개봉예정,2026-09-02,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001420/30001420_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
8,모모와 다락방의 수상한 요괴들,,,재개봉,2026-09-02,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76431/76431_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
9,싱 어게인,,,개봉예정,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001369/30001369_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
10,핵소 고지,,,재개봉,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000079/79446/79446_320.jpg,2026-09-01 09:26:03,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
