rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
1,오디세이,98%,932.9만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001323/30001323_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
2,스파이더맨-브랜드 뉴 데이,97%,864.5만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001192/30001192_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
3,인턴,,,개봉예정,2026-09-16,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001399/30001399_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
4,암살자(들),,,개봉예정,2026-09-23,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001314/30001314_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
5,옵세션,95%,4.6만,개봉,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001420/30001420_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
6,비광,84%,3만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001338/30001338_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
7,호프,85%,453.8만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001297/30001297_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
8,경주기행,92%,24.8만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001350/30001350_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
9,싱 어게인,95%,2.1만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001369/30001369_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
10,딥 워터,,,개봉예정,2026-09-09,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001353/30001353_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
11,모모와 다락방의 수상한 요괴들,96%,30.4만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76431/76431_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
12,아이유 콘서트 - 더 골든 아워,,,재개봉,2026-09-09,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000087/87246/87246_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
13,이누야샤 극장판-시대를 초월한 마음,,,개봉예정,2026-09-09,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001449/30001449_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
14,아이유 콘서트 - 더 위닝,,,재개봉,2026-09-16,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89400/89400_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
15,핵소 고지,97%,18.2만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000079/79446/79446_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
16,더 드라마,,,개봉예정,2026-09-09,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001377/30001377_320.jpg,2026-09-04 09:28:35,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
