rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
23,파뿌리 24- 좀비 아일랜드,99%,859,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001302/30001302_320.png,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
24,어떻게 해야 했을까,97%,8.8만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001329/30001329_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
25,고양이를 놓아줘,80%,"1,040",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001393/30001393_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
26,퍼피 구조대-더 다이노 무비,99%,9.7만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001288/30001288_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
27,스파이에어 저스트 라이크 디스 2025,,217,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001421/30001421_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
28,사진의 얼굴,,,개봉예정,2026-09-02,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001379/30001379_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
29,모모와 다락방의 수상한 요괴들,,,재개봉,2026-09-02,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76431/76431_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
30,시간을 달리는 소녀,,,재개봉,2026-09-16,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000078/78718/78718_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
31,델마,90%,"7,716",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000080/80923/80923_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
32,몽상가들,93%,4.8만,개봉,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000077/77427/77427_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
33,애정만세,85%,1만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001354/30001354_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
34,트루먼의 사랑,81%,588,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001361/30001361_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
35,귀향-언니야 이제 집에 가자,98%,"1,244",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001368/30001368_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
36,말하지 않은 것들,,,개봉예정,2026-09-02,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001441/30001441_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
37,캐리어를 끄는 소녀,,,개봉예정,2026-09-02,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001392/30001392_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
38,2026 KBO 리그 - KT 위즈 vs 삼성 라이온즈,,,개봉예정,2026-08-30,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001447/30001447_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
39,2026 KBO 리그 - SSG 랜더스 vs KIA 타이거즈,,,개봉예정,2026-08-30,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001448/30001448_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
40,다윗,94%,30.6만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001090/30001090_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
41,드로스테 저편의 우리들,96%,"1,172",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001363/30001363_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
42,리틀 드리머즈,94%,"2,843",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001343/30001343_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
43,콘크리트 녹색섬,97%,"2,683",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001362/30001362_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
44,키스 미 어게인,98%,432,개봉,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000078/78335/78335_320.jpg,2026-08-28 09:28:41,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
