rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
23,기동전사 건담-섬광의 하사웨이 키르케의 마녀,92%,4.6만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001083/30001083_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
24,핵소 고지,,,재개봉,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000079/79446/79446_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
25,기동전사 건담 Ⅱ 애전사,,,개봉예정,2026-08-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001403/30001403_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
26,기동전사 건담 Ⅲ 만남의 우주,,,개봉예정,2026-08-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001404/30001404_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
27,기동전사 건담Ⅰ,,,개봉예정,2026-08-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001402/30001402_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
28,모모와 다락방의 수상한 요괴들,,,재개봉,2026-09-02,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000076/76431/76431_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
29,기동전사 건담 F91,,"2,886",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001406/30001406_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
30,기동전사 건담-섬광의 하사웨이,97%,"1,710",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001113/30001113_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
31,마티 슈프림,91%,13.3만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001227/30001227_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
32,사진의 얼굴,,,개봉예정,2026-09-02,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001379/30001379_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
33,경멸,91%,1만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001320/30001320_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
34,기동전사 건담 쿠쿠루스 도안의 섬,,"2,052",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001405/30001405_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
35,다윗,94%,29.5만,개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001090/30001090_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
36,데인저러스 애니멀스,93%,243,개봉,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001381/30001381_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
37,드로스테 저편의 우리들,,,개봉예정,2026-08-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001363/30001363_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
38,라스트 키스,,,재개봉,2026-08-19,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001411/30001411_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
39,수련,,,개봉예정,2026-08-19,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001336/30001336_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
40,스탑 메이킹 센스,95%,3.7만,개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89870/89870_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
41,시크릿 에이전트,92%,1.9만,개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001235/30001235_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
