rank,title,egg_index_raw,cumulative_viewers_raw,release_info_raw,age_rating,poster_url,crawled_at,source_url
1,오디세이,98,923.1만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001323/30001323_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
2,스파이더맨-브랜드 뉴 데이,97,862.6만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001192/30001192_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
3,인턴,,,2026.09.16 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001399/30001399_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
4,암살자(들),,,2026.09.23 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001314/30001314_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
5,옵세션,96,2.4만,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001420/30001420_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
6,비광,85,1.7만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001338/30001338_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
7,싱 어게인,96,1.1만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001369/30001369_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
8,경주기행,92,23.8만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001350/30001350_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
9,호프,85,453.7만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001297/30001297_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
10,딥 워터,,,2026.09.09 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001353/30001353_320.jpg,2026-09-03 15:32:21,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
